year,outage_date,outage_time,state(s) affected,state(s) affected_abbr,region,utility_region,listed cause,weather-related?,weather_type,weather_details (where available)
2009,1/28/09,3:00 AM,"Illinois, Indiana, Kentucky, Ohio","IL, IN, KY, OH",Ohio Valley,RFC,Winter Storm,yes,winter weather,
2009,1/28/09,4:00 AM,Kentucky,KY,Ohio Valley,RFC,Ice Storm,yes,winter weather,
2009,1/28/09,6:00 AM,Indiana,IN,Ohio Valley,RFC,Ice Storm,yes,winter weather,
2009,1/28/09,7:50 AM,Indiana,IN,Ohio Valley,RFC,Ice/Snow Storm,yes,winter weather,
2009,1/28/09,9:00 AM,"Kentucky, Tennessee","KY, TN",Ohio Valley,SERC,Ice Storm,yes,winter weather,
2009,1/28/09,10:00 AM,"Kentucky, Ohio","KY, OH",Ohio Valley,RFC,Ice/Snow Storm,yes,winter weather,
2009,2/11/09,2:30 AM,Texas,TX,South,TRE,High Winds,yes,severe weather,
2009,2/11/09,6:00 PM,"Kentucky, Ohio, West Virginia","KY, OH, WV",Ohio Valley,RFC,Severe Thunderstorms,yes,severe weather,
2009,2/11/09,6:18 PM,"Maryland, Pennsylvania, Virginia, West Virginia","MD, PA, VA, WV","Northeast, Southeast",RFC,Severe Thunderstorms,yes,severe weather,
2009,2/11/09,7:00 PM,Kentucky,KY,Ohio Valley,RFC,Severe Thunderstorms,yes,severe weather,
2009,2/11/09,9:00 PM,"Kentucky, Ohio","KY, OH",Ohio Valley,RFC,Severe Thunderstorms,yes,severe weather,
2009,2/12/09,2:30 AM,Ohio,OH,Ohio Valley,RFC,High Winds,yes,severe weather,
2009,2/12/09,8:00 AM,Pennsylvania,PA,Northeast,RFC,High Winds,yes,severe weather,
2009,2/13/09,2:30 AM,Ohio,OH,Ohio Valley,RFC,High Winds,yes,severe weather,
2009,2/23/09,2:38 AM,Maine,ME,Northeast,NPCC,Ice/Snow Storm,yes,winter weather,
2009,3/1/09,12:15 AM,Texas,TX,South,WECC,Transmission Equipment Failure,not attributed to weather ,,
2009,3/1/09,4:00 PM,Southern Balancing Area,,,SERC,Severe Weather,yes,severe weather,
2009,3/1/09,8:54 PM,North Carolina,NC,Southeast,SERC,Ice/Snow Storm,yes,winter weather,
2009,3/1/09,10:00 PM,Virginia,VA,Southeast,SERC,Winter Storm,yes,winter weather,
2009,4/6/09,1:00 AM,Michigan ,MI,Upper Midwest,RFC,Winter Storm,yes,winter weather,
2009,4/10/09,10:00 PM,"Alabama, Georgia","AL, GA",Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2009,4/23/09,4:25 PM,Washington,WA,Northwest,WECC,Transmission Tripped,not attributed to weather ,,
2009,4/23/09,5:54 PM,California,CA,West,WECC,Substation Load Interruption,not attributed to weather ,,
2009,4/24/09,11:09 AM,Louisiana,LA,South,SERC,Complete Electric System Failure,not attributed to weather ,,
2009,4/25/09,2:30 PM,Western Region of Service Territory,,,RFC,High Winds/Rain,yes,severe weather,
2009,4/27/09,3:30 PM,Texas,TX,South,TRE,High Winds,yes,severe weather,
2009,5/8/09,7:30 AM,Missouri,MO,Ohio Valley,SERC,Severe Thunderstorm,yes,severe weather,
2009,5/8/09,1:30 PM,Illinois,IL,Ohio Valley,SERC,Severe Thunderstorm,yes,severe weather,
2009,5/29/09,9:05 AM,Kentucky,KY,Ohio Valley,SERC,Transmission Equipment Failure,not attributed to weather ,,
2009,6/5/09,1:38 PM,California,CA,West,WECC,Electrical System Separation,not attributed to weather ,,
2009,6/9/09,5:25 PM,Maryland,MD,Northeast,RFC,Severe Thunderstorms,yes,severe weather,
2009,6/10/09,6:00 PM,Texas,TX,South,TRE,Severe Storms,yes,severe weather,
2009,6/12/09,4:37 PM,Tennessee,TN,Ohio Valley,SERC,Severe Storm,yes,severe weather,
2009,6/12/09,5:45 PM,"Arkansas, Mississippi","AR, MS",South,SERC,Severe Thunderstorms,yes,severe weather,
2009,6/12/09,10:00 PM,Georgia,GA,Southeast,SERC,Severe Thunderstorm,yes,severe weather,
2009,6/19/09,12:01 AM,Michigan ,MI,Upper Midwest,RFC,Severe Storm,yes,severe weather,
2009,6/19/09,1:00 PM,Illinois,IL,Ohio Valley,SERC,Severe Storm,yes,severe weather,
2009,6/25/09,3:30 PM,Western Region of Service Territory,,,RFC,High Winds/Rain,yes,severe weather,
2009,6/26/09,1:00 AM,"Indiana, Kentucky, Ohio","IN, KY, OH",Ohio Valley,RFC,Severe Thunderstorms,yes,severe weather,
2009,6/26/09,5:00 PM,Connecticut,CT,Northeast,NPCC,Severe Thunderstorms,yes,severe weather,
2009,7/18/09,7:00 PM,Texas,TX,South,TRE,Thunderstorms,yes,severe weather,
2009,7/20/09,9:50 PM,Colorado,CO,SouthWest,WECC,Severe Thunderstorm,yes,severe weather,
2009,7/21/09,5:34 AM,California,CA,West,WECC,Unit Tripped,not attributed to weather ,,
2009,8/2/09,2:17 AM,Pennsylvania,PA,Northeast,RFC,Highwinds,yes,severe weather,
2009,8/4/09,1:45 PM,"Indiana, Kentucky, Ohio","IN, KY, OH",Ohio Valley,RFC,Thunderstorms,yes,severe weather,
2009,8/7/09,11:00 PM,Western Region of Service Territory,,,RFC,High Winds and Rain,yes,severe weather,
2009,8/9/09,7:31 PM,Michigan ,MI,Upper Midwest,RFC,Severe Thunderstorms,yes,severe weather,
2009,8/12/09,6:25 PM,Texas,TX,South,TRE,Thunderstorms,yes,severe weather,
2009,8/21/09,7:00 PM,Texas,TX,South,TRE,Thunderstorms,yes,severe weather,
2009,8/29/09,11:00 AM,South Dakota,SD,Northern Rockies and Plains,MRO,Electrical System Separation,not attributed to weather ,,
2009,10/7/09,5:45 AM,Michigan,MI,Upper Midwest,RFC,Severe Storms,yes,severe weather,
2009,10/9/09,10:45 PM,"Arkansas, Louisiana","AR, LA",South,SERC,Winter Storm,yes,severe weather,
2009,10/13/09,12:48 PM,Wyoming,WY,Northern Rockies and Plains,WECC,Ice,yes,winter weather,
2009,10/13/09,3:45 PM,California,CA,West,WECC,High Winds,yes,severe weather,
2009,10/13/09,4:00 PM,California,CA,West,WECC,High Winds and Rain,yes,severe weather,
2009,11/12/09,6:45 PM,"North Carolina, Virginia","NC, VA",Southeast,SERC,tropical Storm Ida,yes,tropical cyclones (including hurricanes),
2009,12/8/09,1:00 AM,Arizona,AZ,SouthWest,WECC,Severe Weather,yes,winter weather,
2009,12/9/09,1:37 PM,Ohio,OH,Ohio Valley,RFC,Severe Weather,yes,severe weather,
2009,12/10/09,5:45 PM,Michigan,MI,Upper Midwest,RFC,Severe Weather,yes,winter weather,
2009,12/18/09,8:00 PM,"Kentucky, Ohio, West Virginia","KY, OH, WV",Ohio Valley,RFC,Severe Weather,yes,winter weather,
2009,12/18/09,10:55 PM,North Carolina,NC,Southeast,SERC,Severe Weather,yes,winter weather,
2010,1/18/10,11:30 AM,California,CA,West,WECC,Severe Storm,yes,winter weather,
2010,1/19/10,7:30 AM,California,CA,West,WECC,Severe Storm,yes,winter weather,
2010,1/19/10,2:30 PM,California,CA,West,WECC,Severe Storm,yes,winter weather,
2010,1/20/10,1:00 PM,California,CA,West,WECC,Severe Storm,yes,winter weather,
2010,1/28/10,12:00 PM,Oklahoma,OK,South,SPP,Ice Storm,yes,winter weather,
2010,2/1/10,2:32 PM,Oklahoma,OK,South,SPP,Ice Storm/Electrical System Separation,yes,winter weather,
2010,2/5/10,3:00 PM,New Jersey,NJ,Northeast,RFC,Winter Storm,yes,winter weather,
2010,2/5/10,6:48 PM,"North Carolina, South Carolina","NC, SC",Southeast,SERC,Winter Storm,yes,winter weather,
2010,2/5/10,7:00 PM,"DC, Maryland","DC, MD",Northeast,RFC,Winter Storm,yes,winter weather,
2010,2/5/10,10:30 PM,Pennsylvania,PA,Northeast,RFC,Winter Storm,yes,winter weather,
2010,2/5/10,11:30 PM,"Indiana, Ohio, Virginia, West Virginia","IN, OH, VA, WV","Ohio Valley, Southeast",RFC,Winter Storm,yes,winter weather,
2010,2/6/10,2:30 AM,"North Carolina, Virginia","NC, VA",Southeast,SERC,Winter Storm,yes,winter weather,
2010,2/6/10,8:00 AM,"Delaware, Maryland","DE, MD",Northeast,RFC,Winter Storm,yes,winter weather,
2010,2/9/10,6:00 PM,Pennsylvania,PA,Northeast,RFC,Winter Storm,yes,winter weather,
2010,2/11/10,12:00 PM,Texas,TX,South,TRE,Winter Storm,yes,winter weather,
2010,2/12/10,5:00 AM,"Arkansas, Lousiania, Texas","AR, LA, TX",South,SPP,Winter Storm,yes,winter weather,
2010,2/14/10,10:00 AM,"Pennsylvania, West Virginia","PA, WV","Northeast, Ohio Valley",RFC,Winter Storm,yes,winter weather,
2010,2/23/10,10:00 PM,New York,NY,Northeast,NPCC,Winter Storm,yes,winter weather,
2010,2/25/10,12:01 AM,"New Jersey, New York","NJ, NY",Northeast,NPCC,Winter Storm,yes,winter weather,
2010,2/25/10,5:00 PM,New York,NY,Northeast,NPCC,Winter Storm,yes,winter weather,
2010,2/25/10,11:53 PM,"Maine, New Hampshire","ME, NH",Northeast,NPCC,Winter Storm,yes,winter weather,
2010,3/13/10,1:00 AM,Pennsylvania,PA,Northeast,RFC,High Winds and rain,yes,severe weather,
2010,3/13/10,12:00 PM,Connecticut,CT,Northeast,NPCC,High Winds and Rain,yes,severe weather,
2010,3/13/10,3:00 PM,New York,NY,Northeast,NPCC,High Winds and Rain,yes,severe weather,
2010,3/13/10,4:00 PM,New Jersey,NJ,Northeast,RFC,High Winds and Flooding,yes,severe weather,
2010,3/13/10,6:00 PM,New Jersey,NJ,Northeast,RFC,High Winds and Rain,yes,winter weather,
2010,3/13/10,6:00 PM,New York,NY,Northeast,NPCC,High Winds and Rain,yes,severe weather,
2010,3/31/10,11:59 PM,California,CA,West,WECC ,Shed Firm Load,not attributed to weather ,,
2010,4/16/10,5:15 PM,Pennsylvania,PA,Northeast,RFC,Severe Thunderstorms,yes,severe weather,https://www.spc.noaa.gov/exper/archive/event.php?date=20100416
2010,4/27/10,2:55 PM,North Carolina,NC,Southeast,SERC ,Transmission System Interruption,not attributed to weather ,,
2010,5/2/10,2:40 PM,"Mississippi, Tennessee ","MS, TN","Ohio Valley, Southeast",SERC,Thunderstorms,yes,severe weather,
2010,6/1/10,10:03 PM,Indiana,IN,Ohio Valley,RFC ,Firm Load Shed,not attributed to weather ,,
2010,6/2/10,8:18 PM,Texas,TX,South,TRE,Severe Weather,yes,severe weather,
2010,6/6/10,4:45 AM,California,CA,West,WECC ,Electric System Separation,not attributed to weather ,,
2010,6/7/10,6:29 PM,Colorado,CO,SouthWest,WECC ,Firm Load Shed,not attributed to weather ,,
2010,6/8/10,11:00 AM,Texas,TX,South,TRE,Thunderstorms,yes,severe weather,
2010,6/9/10,2:18 PM,North Carolina,NC,Southeast,SERC ,Transmission System Interruption,not attributed to weather ,,
2010,6/18/10,3:30 PM,Indiana,IN,Ohio Valley,RFC,Thunderstorms,yes,severe weather,
2010,6/18/10,4:00 PM,Illinois,IL,Ohio Valley,RFC,Severe Weather,yes,severe weather,
2010,6/18/10,7:00 PM,Michigan,MI,Upper Midwest,RFC,Thunderstorms,yes,severe weather,
2010,6/18/10,8:00 PM,"Indiana, Michigan","IN, MI","Ohio Valley, Upper Midwest",RFC,Severe Weather,yes,severe weather,
2010,6/18/10,8:00 PM,Michigan,MI,Upper Midwest,RFC,Severe Weather,yes,severe weather,
2010,6/21/10,1:48 PM,Ohio,OH,Ohio Valley,RFC,Thunderstorms,yes,severe weather,
2010,6/22/10,3:34 PM,Arkansas,AR,South,SERC ,Made Public Appeal/Transmission Equipment Failure,not attributed to weather ,,
2010,6/23/10,5:00 PM,Illinois,IL,Ohio Valley,RFC,Severe Weather,yes,severe weather,
2010,6/23/10,5:48 PM,Indiana,IN,Ohio Valley,RFC,Thunderstorms,yes,severe weather,
2010,6/24/10,3:00 PM,New Jersey,NJ,Northeast,RFC,Thunderstorms,yes,severe weather,
2010,6/24/10,3:30 PM,Pennsylvania,PA,Northeast,RFC,Thunderstorms,yes,severe weather,
2010,7/6/10,3:47 AM,Delaware,DE,Northeast,RFC,Transformer Outage,yes,severe weather,
2010,7/7/10,4:13 PM,"New York, Pennsylvania","NY, PA",Northeast,RFC ,Loss of Transmission Equipment,not attributed to weather ,,
2010,7/17/10,8:30 PM,Minnesota,MN,Upper Midwest,MRO,"Strong Winds, Torn/adoes",yes,severe weather,
2010,7/21/10,6:44 PM,Connecticut,CT,Northeast,NPCC,Thunderstorms,yes,severe weather,
2010,7/23/10,7:30 PM,Michigan,MI,Upper Midwest,RFC,Severe Weather,yes,severe weather,
2010,7/25/10,3:10 PM,DC,MD,Northeast,RFC,Severe Weather,yes,severe weather,
2010,7/25/10,3:20 PM,Maryland,MD,Northeast,RFC,Severe Weather,yes,severe weather,
2010,7/25/10,4:11 PM,Virginia,VA,Southeast,SERC,Severe Weather,yes,severe weather,
2010,7/29/10,5:43 PM,Virginia,VA,Southeast,SERC,Thunderstorms,yes,severe weather,
2010,7/29/10,6:39 PM,California,CA,West,WECC,"Shed Interruptible Load, Wildfire",yes,Wildfire,
2010,8/4/10,4:45 PM,"Pennsylvania, West Virginia","PA, WV","Northeast, Ohio Valley",RFC,Thunderstorms,yes,severe weather,
2010,8/4/10,5:00 PM,"Kentucky, Ohio, West Virginia","KY, OH, WV",Ohio Valley,RFC,Severe Weather,yes,severe weather,
2010,8/5/10,3:30 PM,"DC, Maryland","DC, MD",Northeast,RFC,Thunderstorms,yes,severe weather,
2010,8/5/10,3:54 PM,Virginia,VA,Southeast,RFC,Thunderstorms,yes,severe weather,
2010,8/11/10,3:21 PM,Ohio,OH,Ohio Valley,RFC,Severe Weather,yes,severe weather,
2010,8/12/10,3:42 PM,Wisconsin,WI,Upper Midwest,MRO ,Made Public Appeals,not attributed to weather ,,
2010,8/12/10,6:45 AM,"DC, Maryland","DC, MD",Northeast,RFC,Severe Weather,yes,severe weather,
2010,8/19/10,6:00 PM,Michigan,MI,Upper Midwest,RFC,Severe Weather,yes,severe weather,
2010,8/23/10,5:50 PM,Texas,TX,South,TRE,Severe Weather,yes,severe weather,
2010,9/1/10,10:20 AM,California,CA,West,WECC ,Electrical System Separation (Islanding),not attributed to weather ,,
2010,9/7/10,2:02 PM,Texas,TX,South,TRE,tropical Storm,yes,tropical cyclones (including hurricanes),
2010,9/21/10,9:31 PM,Michigan,MI,Upper Midwest,RFC,Thunderstorms,yes,severe weather,
2010,9/22/10,4:08 PM,Pennsylvania,PA,Northeast,RFC,Thunderstorms,yes,severe weather,
2010,9/22/10,5:38 PM,Pennsylvania,PA,Northeast,RFC,Thunderstorms,yes,severe weather,
2010,9/27/10,3:15 PM,California,CA,West,WECC,Interruptible Load Shed,yes,heat,
2010,10/5/10,5:45 AM,California,CA,West,WECC,Rain and High Winds,yes,severe weather,
2010,10/26/10,9:00 AM,Illinois,IL,Ohio Valley,RFC,Thunderstorms,yes,severe weather,
2010,10/26/10,8:00 PM,Minnesota,MN,Upper Midwest,MRO,High Winds,yes,severe weather,
2010,10/27/10,5:16 PM,California,CA,West,WECC ,Electrical System Separation-Islanding,not attributed to weather ,,
2010,10/27/10,4:00 AM,Wisconsin,WI,Upper Midwest,MRO,High Winds,yes,severe weather,
2010,10/27/10,8:00 AM,Michigan ,MI,Upper Midwest,RFC,High Winds,yes,severe weather,
2010,10/27/10,5:00 PM,Illinois,IL,Ohio Valley,RFC,High Winds,yes,severe weather,
2010,11/6/10,3:53 PM,California,CA,West,WECC ,Electrical System Separation (Islanding),not attributed to weather ,,
2010,11/8/10,6:47 AM,Maine,ME,Northeast,NPCC,Snow and High Winds,yes,severe weather,
2010,11/13/10,3:00 PM,Minnesota,MN,Upper Midwest,MRO,Winter Storm,yes,winter weather,
2010,11/15/10,11:00 PM,Washington,WA,Northwest,WECC,High Winds,yes,severe weather,
2010,11/21/10,1:39 AM,California,CA,West,WECC,Winter Storm,yes,winter weather,
2010,11/22/10,11:00 PM,Washington,WA,Northwest,WECC,Winter Storm,yes,winter weather,
2010,11/23/10,2:01 PM,California,CA,West,WECC ,Electrical System Separation (Islanding),not attributed to weather ,,
2010,12/3/10,9:32 PM,California,CA,West,WECC ,Electrical System Separation (Islanding),not attributed to weather ,,
2010,12/12/10,4:30 PM,Michigan,MI,Upper Midwest,RFC,Severe Weather,yes,winter weather,
2010,12/14/10,7:20 AM,California,CA,West,WECC ,Electrical System Separation (Islanding),not attributed to weather ,,
2010,12/18/10,5:00 AM,Washington,WA,Northwest,WECC,Severe Weather,yes,severe weather,
2010,12/26/10,8:15 AM,"North Carolina, South Carolina","NC, SC",Southeast,SERC,Severe Weather,yes,winter weather,
2011,1/12/11,6:00 AM,Massachusetts,MA,Northeast,NPCC,Winter Storm,yes,winter weather,
2011,1/13/11,7:21 AM,Florida,FL,Southeast,FRCC,Firm System Load Shed,not attributed to weather ,,
2011,1/26/11,5:00 PM,"DC, Maryland","DC, MD",Northeast,RFC,Winter Storm,yes,winter weather,
2011,1/26/11,6:28 PM,Maryland,MD,Northeast,RFC,Winter Storm,yes,winter weather,
2011,1/26/11,7:43 PM,Virginia,VA,Southeast,SERC,Winter Storm,yes,winter weather,
2011,1/31/11,10:00 PM,"Indiana, Ohio","IN, OH",Ohio Valley,RFC,Ice Storm,yes,winter weather,
2011,2/1/11,3:00 PM,"Indiana, Ohio","IN, OH",Ohio Valley,RFC,Winter Storm,yes,winter weather,
2011,2/1/11,9:00 PM,Illinois,IL,Ohio Valley,RFC,Winter Storm,yes,winter weather,
2011,2/2/11,5:43 AM,Texas,TX,South,TRE,Generation inadequacy/Load Shed,not attributed to weather ,,
2011,2/2/11,6:22 AM,Arizona,AZ,SouthWest,WECC,Generation inadequacy/Load Shed,not attributed to weather ,,
2011,2/2/11,3:00 AM,Pennsylvania,PA,Northeast,RFC,Winter Storm,yes,winter weather,
2011,2/2/11,6:22 AM,Arizona,AZ,SouthWest,WECC,Generation inadequacy/Load Shed,yes,winter weather,
2011,2/2/11,7:24 AM,"New Mexico, Texas","NM, TX","South, SouthWest",WECC,Generation inadequacy/Load Shed,yes,winter weather,
2011,2/3/11,10:04 PM,Texas,TX,South,TRE,Generation inadequacy/Load Shed,yes,winter weather,
2011,2/9/11,3:45 AM,Texas,TX,South,TRE,Winter Storm,yes,winter weather,
2011,2/9/11,4:30 PM,Texas,TX,South,TRE,Cold Weather Event,yes,winter weather,
2011,2/17/11,1:25 AM,California,CA,West,WECC,Major Storm,yes,winter weather,
2011,2/19/11,12:30 PM,Pennsylvania,PA,Northeast,RFC,Major Storm,yes,severe weather,
2011,2/20/11,4:00 PM,Michigan,MI,Upper Midwest,RFC,Winter Storm,yes,winter weather,
2011,2/25/11,8:00 AM,California,CA,West,WECC,Winter Storm,yes,winter weather,
2011,2/25/11,3:20 PM,Virginia,VA,Southeast,SERC,Severe Weather,yes,severe weather,
2011,2/25/11,3:23 PM,Maryland,MD,Northeast,RFC,Severe Weather,yes,severe weather,
2011,3/11/11,7:02 AM,California,CA,West,WECC,Generation inadequacy/Load Shed,not attributed to weather ,,
2011,3/13/11,2:20 PM,Oregon,OR,Northwest,WECC,Severe Weather,yes,severe weather,
2011,3/19/11,11:56 PM,California,CA,West,WECC,Major Storm,yes,severe weather,
2011,3/20/11,9:44 AM,California,CA,West,WECC,Major Storm,yes,winter weather,
2011,3/21/11,12:35 PM,California,CA,West,WECC,Major Storm,yes,severe weather,
2011,3/23/11,6:30 PM,"Indiana, Kentucky, Michigan, Ohio, Tennessee, Virginia, West Virginia","IN, KY, MI, OH, TN, VA, WV","Ohio Valley, Southeast, Upper Midwest",RFC,Major Storm,yes,severe weather,
2011,3/27/11,1:27 PM,California,CA,West,WECC,Transmission Level Outage,not attributed to weather ,,
2011,3/31/11,11:30 AM,Florida,FL,Southeast,FRCC,Severe Weather,yes,severe weather,
2011,3/31/11,2:30 PM,Florida,FL,Southeast,FRCC,Severe Weather,yes,severe weather,
2011,4/4/11,11:47 AM,Tennessee,TN,Ohio Valley,SERC,Severe Weather,yes,severe weather,
2011,4/4/11,1:00 PM,Tennessee,TN,Ohio Valley,SERC,Severe Weather,yes,severe weather,
2011,4/4/11,2:00 PM,Tennessee,TN,Ohio Valley,SERC,Severe Weather,yes,severe weather,
2011,4/4/11,7:00 PM,"Kentucky, West Virginia","KY, WV",Ohio Valley,RFC,Severe Weather,yes,severe weather,
2011,4/4/11,7:00 PM,"Arkansas, Louisiana, Mississippi, Texas","AR, LA, MS, TX",South,SERC,Severe Weather,yes,severe weather,
2011,4/4/11,9:00 PM,"Alabama, Florida, Georgia, Mississippi","AL, FL, GA, MS",Southeast,SERC,Severe Weather,yes,severe weather,
2011,4/5/11,2:00 AM,"North Carolina, South Carolina","NC, SC",Southeast,SERC,Severe Weather,yes,severe weather,
2011,4/16/11,2:16 PM,North Carolina,NC,Southeast,SERC,Severe Weather,yes,severe weather,
2011,4/19/11,8:00 PM,Illinois,IL,Ohio Valley,SERC,Severe Weather,yes,severe weather,
2011,4/19/11,10:44 PM,Tennessee,TN,Ohio Valley,SERC,Severe Weather,yes,severe weather,
2011,4/19/11,11:02 PM,Tennessee,TN,Ohio Valley,SERC,Severe Weather,yes,severe weather,
2011,4/19/11,11:13 PM,Arkansas,AR,South,SERC,Severe Weather,yes,severe weather,
2011,4/20/11,8:07 AM,Louisiana,LA,South,SERC,Equipment Malfunction,not attributed to weather ,,
2011,4/20/11,2:00 AM,"Indiana, Kentucky, Ohio","IN, KY, OH",Ohio Valley,RFC,Severe Weather - High Winds,yes,severe weather,
2011,4/22/11,9:00 PM,Missouri,MO,Ohio Valley,SERC,Severe Weather,yes,severe weather,
2011,4/25/11,5:30 PM,"Arkansas, Louisiana, Mississippi","AR, LA, MS",South,SPP,Severe Weather,yes,severe weather,
2011,4/26/11,5:49 AM,Louisiana,LA,South,SPP,Severe Weather,yes,severe weather,
2011,4/26/11,9:51 AM,"Alabama, Georgia, Mississippi, Tennessee","AL, GA, MS, TN","Ohio Valley, South, Southeast",SERC,Severe Weather,yes,severe weather,
2011,4/26/11,6:14 PM,Arkansas,AR,South,SPP,Severe Weather,yes,severe weather,
2011,4/27/11,8:00 AM,"Alabama, Florida, Georgia, Mississippi","AL, FL, GA, MS",Southeast,SERC,Severe Weather,yes,severe weather,
2011,4/27/11,10:00 AM,"Alabama, Georgia, Mississippi, Tennessee","AL, GA, MS, TN","Ohio Valley, South, Southeast",SERC,Severe Weather,yes,severe weather,
2011,4/27/11,10:00 PM,"Ohio, Tennessee, Virginia","OH, TN, VA","Ohio Valley, Southeast",SERC,Severe Weather,yes,severe weather,
2011,4/28/11,5:00 AM,Ohio,OH,Ohio Valley,RFC,Severe Weather,yes,severe weather,
2011,5/2/11,5:06 PM,Hawaii,HI,Hawaii/Alaska,,Severe Weather,yes,severe weather,
2011,5/10/11,3:25 AM,Michigan,MI,Upper Midwest,RFC,Generation inadequacy; Load Shed; Electrical System Separation (Islanding),not attributed to weather ,,
2011,5/10/11,10:21 PM,"Kentucky, West Virginia","KY, WV",Ohio Valley,RFC,Severe Weather,yes,severe weather,
2011,5/11/11,12:15 AM,North Carolina,NC,Southeast,SERC,Severe Weather,yes,severe weather,
2011,5/22/11,5:09 PM,Missouri,MO,Ohio Valley,SPP,Severe Weather,yes,severe weather,
2011,5/23/11,12:30 PM,Missouri,MO,Ohio Valley,SERC,Severe Weather,yes,severe weather,
2011,5/23/11,4:45 PM,Indiana,IN,Ohio Valley,RFC,Severe Weather,yes,severe weather,
2011,5/24/11,4:35 PM,Virginia,VA,Southeast,SERC,Severe Weather,yes,severe weather,
2011,5/24/11,4:45 PM,Oklahoma,OK,South,SPP,Severe Weather,yes,severe weather,
2011,5/25/11,10:14 PM,Indiana,IN,Ohio Valley,RFC,Severe Weather,yes,severe weather,
2011,5/26/11,1:00 AM,Mississippi,MS,Southeast,SERC,Transmission Level Interruption,yes,severe weather,
2011,5/26/11,6:30 PM,Georgia,GA,Southeast,SERC,Severe Weather,yes,severe weather,
2011,5/26/11,7:56 PM,Pennsylvania,PA,Northeast,RFC,Severe Weather,yes,severe weather,
2011,5/29/11,6:30 PM,Michigan ,MI,Upper Midwest,RFC,Severe Weather,yes,severe weather,
2011,6/2/11,11:45 PM,South Carolina,SC,Southeast,SERC,Severe Weather,yes,severe weather,
2011,6/5/11,8:02 PM,California,CA,West,WECC,Electrical System Separation (Islanding),not attributed to weather ,,
2011,6/5/11,5:30 AM,Texas,TX,South,TRE,Severe Thunderstorms,yes,severe weather,
2011,6/6/11,12:13 AM,Texas,TX,South,SPP,Load Shed/ Automatic undervoltage relay action,not attributed to weather ,,
2011,6/6/11,12:13 AM,New Mexico,NM,SouthWest,SPP,Load Shed/ Automatic undervoltage relay action,not attributed to weather ,,
2011,6/6/11,3:00 PM,Arkansas,AR,South,SPP,Public Appeal to Reduce Electricity Usage,not attributed to weather ,,
2011,6/7/11,2:00 PM,Ohio,OH,Ohio Valley,RFC,Severe Weather,yes,severe weather,
2011,6/9/11,4:30 AM,Illinois,IL,Ohio Valley,RFC,Severe Thunderstorms,yes,severe weather,
2011,6/9/11,5:51 PM,"Connecticut, Massachusetts","CT, MA",Northeast,NPCC,Severe Thunderstorms,yes,severe weather,
2011,6/12/11,7:00 PM,Virginia,VA,Southeast,RFC,Severe Thunderstorms,yes,severe weather,
2011,6/15/11,7:15 PM,Georgia,GA,Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2011,6/15/11,7:17 PM,North Carolina,NC,Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2011,6/18/11,3:30 PM,Georgia,GA,Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2011,6/18/11,5:00 PM,"North Carolina, South Carolina","NC, SC",Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2011,6/21/11,6:30 PM,AEP Region,,,RFC,Severe Weather,yes,severe weather,
2011,6/21/11,9:45 PM,Illinois,IL,Ohio Valley,RFC,Severe Thunderstorms,yes,severe weather,
2011,6/22/11,9:46 AM,Tennessee,TN,Ohio Valley,SERC,Severe Weather,yes,severe weather,
2011,6/22/11,7:00 PM,"Alabama, Georgia","AL, GA",Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2011,6/24/11,6:30 PM,"Alabama, Georgia","AL, GA",Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2011,6/26/11,6:00 PM,"Alabama, Georgia","AL, GA",Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2011,6/27/11,12:00 AM,"Illinois, Missouri ","IL, MO",Ohio Valley,SERC,Severe Thunderstorms,yes,severe weather,
2011,6/30/11,2:11 PM,Arizona,AZ,SouthWest,WECC,Major System Interruption/Load Shed,not attributed to weather ,,
2011,6/30/11,10:30 PM,Illinois,IL,Ohio Valley,RFC,Severe Weather,yes,severe weather,
2011,7/1/11,5:00 PM,Minnesota,MN,Upper Midwest,MRO,Severe Weather,yes,severe weather,
2011,7/2/11,8:15 PM,Michigan,MI,Upper Midwest,RFC,Severe Weather,yes,severe weather,
2011,7/4/11,6:00 PM,Virginia,VA,Southeast,SERC,Severe Weather,yes,severe weather,
2011,7/11/11,9:00 AM,Michigan,MI,Upper Midwest,RFC,Severe Weather,yes,severe weather,
2011,7/11/11,9:00 AM,Illinois,IL,Ohio Valley,RFC,Severe Weather,yes,severe weather,
2011,7/11/11,11:15 AM,Michigan,MI,Upper Midwest,RFC,Severe Weather,yes,severe weather,
2011,7/11/11,2:27 PM,"Indiana, Michigan, Ohio","IN, MI, OH","Ohio Valley, Upper Midwest",RFC,Severe Weather,yes,severe weather,
2011,7/18/11,5:00 PM,Michigan,MI,Upper Midwest,RFC,Severe Weather,yes,severe weather,
2011,7/22/11,11:34 AM,Ohio,OH,Ohio Valley,RFC,Load Shed,not attributed to weather ,,
